	t	x	y
	820	6.35933e+06	13803.5
	821	6.37519e+06	13881
	822	6.38999e+06	13958.7
	823	6.40374e+06	14036.7
	824	6.41647e+06	14114.8
	825	6.42819e+06	14193.1
	826	6.43891e+06	14271.4
	827	6.44865e+06	14349.9
	828	6.45742e+06	14428.3
	829	6.46525e+06	14506.8
	830	6.47215e+06	14585.2
	831	6.47814e+06	14663.5
	832	6.48324e+06	14741.8
	833	6.48746e+06	14819.8
	834	6.49083e+06	14897.7
	835	6.49337e+06	14975.4
	836	6.49508e+06	15052.9
	837	6.496e+06	15130.1
	838	6.49613e+06	15206.9
	839	6.4955e+06	15283.5
	840	6.49413e+06	15359.6
	841	6.49204e+06	15435.4
	842	6.48923e+06	15510.7
	843	6.48574e+06	15585.5
	844	6.48158e+06	15659.9
	845	6.47677e+06	15733.7
	846	6.47132e+06	15807
	847	6.46526e+06	15879.7
	848	6.45859e+06	15951.9
	849	6.45134e+06	16023.3
	850	6.44353e+06	16094.2
	851	6.43517e+06	16164.3
	852	6.42627e+06	16233.7
	853	6.41686e+06	16302.5
	854	6.40695e+06	16370.4
	855	6.39655e+06	16437.6
	856	6.38568e+06	16504
	857	6.37436e+06	16569.6
	858	6.3626e+06	16634.4
	859	6.35041e+06	16698.3
	860	6.33781e+06	16761.3
	861	6.32482e+06	16823.4
	862	6.31143e+06	16884.6
	863	6.29768e+06	16945
	864	6.28358e+06	17004.3
	865	6.26912e+06	17062.7
	866	6.25434e+06	17120.2
	867	6.23923e+06	17176.7
	868	6.22382e+06	17232.1
	869	6.20812e+06	17286.6
	870	6.19212e+06	17340.1
	871	6.17586e+06	17392.5
	872	6.15933e+06	17443.9
	873	6.14256e+06	17494.3
	874	6.12554e+06	17543.6
	875	6.10829e+06	17591.8
	876	6.09082e+06	17639
	877	6.07314e+06	17685.1
	878	6.05526e+06	17730.1
	879	6.03719e+06	17774.1
	880	6.01893e+06	17816.9
	881	6.0005e+06	17858.7
	882	5.98191e+06	17899.4
	883	5.96315e+06	17938.9
	884	5.94425e+06	17977.4
	885	5.92521e+06	18014.8
	886	5.90604e+06	18051.1
	887	5.88674e+06	18086.3
	888	5.86733e+06	18120.4
	889	5.8478e+06	18153.4
	890	5.82818e+06	18185.3
	891	5.80845e+06	18216.1
	892	5.78864e+06	18245.8
	893	5.76874e+06	18274.4
	894	5.74877e+06	18302
	895	5.72872e+06	18328.5
	896	5.70861e+06	18353.9
	897	5.68845e+06	18378.2
	898	5.66823e+06	18401.5
	899	5.64796e+06	18423.7
	900	5.62766e+06	18444.9
	901	5.66222e+06	12970.3
	902	5.6959e+06	13030
	903	5.72866e+06	13090.4
	904	5.7605e+06	13151.6
	905	5.79141e+06	13213.5
	906	5.82137e+06	13276
	907	5.85038e+06	13339.2
	908	5.87844e+06	13403.1
	909	5.90553e+06	13467.5
	910	5.93165e+06	13532.5
	911	5.9568e+06	13598
	912	5.98098e+06	13664.1
	913	6.00418e+06	13730.6
	914	6.02641e+06	13797.6
	915	6.04768e+06	13865
	916	6.06797e+06	13932.8
	917	6.08731e+06	14000.9
	918	6.10569e+06	14069.4
	919	6.12311e+06	14138.2
	920	6.1396e+06	14207.2
	921	6.15515e+06	14276.5
	922	6.16977e+06	14346
	923	6.18348e+06	14415.7
	924	6.19628e+06	14485.5
	925	6.20818e+06	14555.4
	926	6.2192e+06	14625.4
	927	6.22935e+06	14695.4
